ID_list,question
1,能引起胸闷、胸痛、左肩放射痛、双肺底湿啰音的常见问题有哪些？
2,休克的病因，分期，诊断？
3,糖尿病，高血压病的常见并发症
4,喷射性呕吐和非喷射性呕吐的鉴别点？
5,该情况下抢救室内应该进行的抢救措施包括？
6,上述指标改变的临床意义(WBC↑，Hb↓，N↑，D-dimer↑，TnI↑，CKMB↑，血淀粉酶↑，床旁胸片，心电图)？
7,该病人需完善检查？(糖尿病系列检查(血糖等)；冠脉造影；主动脉造影；心脏彩超； PCWP/CVP;肺动脉造影；三大常规；请完善并挑出重要的检查)
8,心梗的病因，临表，诊断，鉴别诊断（肺栓塞、心肌炎、主动脉夹层、急性冠脉综合征(分类，治疗)等）？
9,冠脉造影的适应证、禁忌证？
10,冠脉狭窄行介入治疗的指标？
11,TIMI分级的概念？
12,休克抑制期的临床表现、治疗（补液、升压的指证）？
13,该情况下发生少尿，酸中毒，I型呼吸衰竭（发生和难以纠正）的病生过程？
14,阵发性房颤的病因（该病人的可能病因）？
15,转入ICU的指证？
16,心梗的治疗原则？
17,病变血管”的标准？
18,可能的诊断？（多器官功能障碍的诊断指证？）
